business_name,category,postcode,city,state,abn,phone,email,website,lead_score,tier
D.M.L. CONSTRUCTIONS PTY. LTD.,builder,5039,Adelaide,SA,16008101808,,,dmlconstructions.com.au,55,MEDIUM
SUNSHIELD CONSTRUCTIONS,builder,5044,Adelaide,SA,16067347665,,,sunshield-constructions-au.com.au,55,MEDIUM
ALL-BUILD CONSTRUCTIONS PTY LTD,builder,5031,Adelaide,SA,16069519740,,,allbuildconstructions.com,55,MEDIUM
Alec Constructions Pty Ltd,builder,5161,Adelaide,SA,16109777166,,,alec-constructions-au.com.au,55,MEDIUM
The Trustee for THE LENBAR CONSTRUCTION TRUST,builder,5067,Adelaide,SA,16115158801,,,the-trustee-for-the-lenbar-construction-trust.com.au,55,MEDIUM
Enduro Builders,builder,5155,Adelaide,SA,99171124720,,,enduro-builders.com.au,55,MEDIUM
The Trustee for True Construction Trust,builder,5097,Adelaide,SA,12506140324,,,the-trustee-for-true-construction-trust-au.com,55,MEDIUM
T.J.R CONCRETE CONSTRUCTION,builder,5092,Adelaide,SA,99163388172,,,t-j-r-concrete-construction.com.au,55,MEDIUM
TICO CONCRETE CONSTRUCTIONS PTY LTD,builder,5096,Adelaide,SA,99162839429,,,tico-concrete-constructions.com,55,MEDIUM
The Trustee for Carpenter QLD Property Trust,builder,5061,Adelaide,SA,16158868615,,,the-trustee-for-carpenter-qld-property-trust-au.com,55,MEDIUM
